Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2021-03-05,263.040283203125,264.20480819481656,254.41095527719872,259.4472319937252,26820100
2021-03-08,254.11236572265625,264.33417931854143,253.85359082218721,264.30432126030314,18391800
2021-03-09,264.493408203125,267.27032886271934,258.59123302785827,259.9548015199282,22039700
2021-03-10,263.6573486328125,267.7082635620102,261.63687257313234,267.37982495599806,14210300
2021-03-11,272.59527587890625,276.59640774204075,266.56370483735765,266.8523226223486,21834000
2021-03-12,267.14093017578125,268.4746405940993,262.7814718852559,267.87747949218095,20600200
2021-03-15,272.4658508300781,274.6654753127633,267.2404783484054,267.81774422925423,16844800
2021-03-16,277.9699401855469,280.8165401696116,273.5109442268555,274.7849387329923,22437700
2021-03-17,282.677734375,284.8873216916441,274.1180704287921,274.4166509954649,21315000
2021-03-18,277.3130187988281,283.8522069279615,276.9746173470538,278.55715518377326,18728300
2021-03-19,288.74908447265625,291.42646815955004,279.8809078566682,279.9008031022258,38930500
2021-03-22,292.1630554199219,298.304095845231,285.4048978091573,289.087553801626,28273100
2021-03-23,289.26666259765625,296.6020851455431,288.4505019191398,291.7748303694648,23000900
2021-03-24,280.8165588378906,290.35160783223125,279.84114486427575,289.6349839764876,18675000
2021-03-25,277.4324035644531,286.7086901533354,276.4470574359803,279.6619162394233,24505600
2021-03-26,281.6923522949219,283.16542060226664,276.46697985850045,276.9944924323433,17629200
2021-03-29,289.455810546875,291.8047255307527,283.36452348761327,284.4294811797683,21718800
2021-03-30,286.64898681640625,291.0980191809293,285.35509728957226,288.4703888887242,17474500
2021-03-31,293.1484069824219,295.1091672513115,287.2561633642928,288.62969487110405,19498200
2021-04-01,297.259033203125,300.98147968952236,295.2086987922236,297.00024310533706,17616000
2021-04-05,307.4609375,309.3121978449165,299.26953267822694,299.47856945865806,28237000
2021-04-06,304.8233337402344,309.8894527337941,303.8180619644527,307.3912175085556,17335200
2021-04-07,311.621337890625,312.7759001486744,304.06694509282426,304.9030011332549,22855200
2021-04-08,311.5516357421875,314.39823549157427,308.5955665742663,313.3730683592338,20894100
2021-04-09,310.9942626953125,313.26356615401016,308.87424952184057,309.9392375138211,15988600
2021-04-12,310.0785827636719,310.68570669039485,306.48550138165064,309.59086068585566,10881900
2021-04-13,308.30694580078125,312.95502212626144,307.8690073820761,310.7454347862208,14036900
2021-04-14,301.3995666503906,306.5851195492502,300.53365242753176,305.8585328323635,17421400
2021-04-15,306.37603759765625,308.68516187248946,302.6734867343622,304.9029692758996,14558300
2021-04-16,304.7437438964844,307.50076964216527,303.1811012634827,306.72442973125106,13059200
2021-04-19,300.8222351074219,306.2566450684479,299.1501229845333,303.57926095974426,14553500
2021-04-20,301.23028564453125,303.66880502943184,295.8158018435098,300.5733780097284,16796400
2021-04-21,300.05584716796875,300.5634645483678,295.9949992480497,300.5336064891928,14863500
2021-04-22,295.1290588378906,301.4990617106976,294.65132988452746,299.91649342940775,16375400
2021-04-23,299.7174377441406,301.17058054276225,295.7560965437511,297.3585600087054,17536800
2021-04-26,301.6184997558594,304.36553241385843,300.1454312476386,301.91708035745967,16172600
2021-04-27,302.14599609375,303.90768229695817,299.69751379507915,302.8526570623467,15309300
2021-04-28,305.659423828125,309.4615117946956,303.9375281889594,305.9181835337125,33907200
2021-04-29,327.9642639160156,330.2534623657785,320.10129886157176,328.57138779964833,56526800
2021-04-30,323.5550537109375,328.272839278608,322.9777878247175,324.61010925199787,26332400
2021-05-03,321.06683349609375,327.00883072991644,320.3303143961539,324.64002031062375,18719500
2021-05-04,316.8666076660156,320.6786587352525,311.65119741922877,318.5188245064735,24032600
2021-05-05,313.54229736328125,319.5539735150015,313.01478469533663,316.6974409334283,15577600
2021-05-06,318.518798828125,318.7377680393141,311.80046258070394,313.0445989228189,19012200
2021-05-07,317.58319091796875,321.4250995562532,317.2547523038582,320.86772893117893,15916700
2021-05-10,304.5346984863281,313.10429446812,303.4000316371376,312.87539283583874,24239200
2021-05-11,305.09210205078125,305.4006454467249,298.2841913436494,299.339216576442,18920100
2021-05-12,301.1307678222656,303.52946649192836,296.79123455641644,299.71744585471544,24645500
2021-05-13,303.82806396484375,307.4111524061888,301.34972366445834,304.6441943379279,18079200
2021-05-14,314.45794677734375,315.36368166667563,307.63011083254275,308.0879748696261,19245700
2021-05-17,313.980224609375,314.1991938433881,310.1184201410121,312.0791804355396,15401300
2021-05-18,308.5060119628906,315.015342231373,308.3567216670497,314.10960727070574,14522400
2021-05-19,312.11895751953125,313.183945479841,302.14597189554263,302.76305863907277,19106200
2021-05-20,317.11541748046875,317.75242988360776,311.6910011150971,312.10901392703676,17320200
2021-05-21,314.7466125488281,318.4292380517517,314.3285693555458,317.79225601249266,13600900
2021-05-24,323.1072082519531,324.42102359552996,316.5381619084933,316.7173102623199,16445400
2021-05-25,326.25238037109375,327.6358442337782,323.2763854894499,325.5456890362261,16437000
2021-05-26,326.12298583984375,328.28278959364997,324.2916207267979,326.8097515540389,9686900
2021-05-27,331.1891174316406,332.2142846342582,325.2272253831153,326.4613990009861,20477700
2021-05-28,327.1880187988281,331.3085832753426,326.7898708015839,329.44735984849365,12037400
2021-06-01,327.5860900878906,329.86535643969563,325.1077801400438,328.6012944386466,11765900
2021-06-02,327.6059875488281,330.3132295435605,325.58551127009054,328.83022868917175,11654300
2021-06-03,324.5106201171875,325.8443308004386,321.96263099479336,324.2518300053357,12610800
2021-06-04,328.8003234863281,330.900410828018,323.65456275964283,324.3711864312148,13289400
2021-06-07,335.0010681152344,336.10587682823586,327.3869608342388,327.93439897336464,20136700
2021-06-08,332.1147766113281,336.71310039450145,330.6815288900238,335.1206299258764,14580500
